code,variable,description,units,layer,time_cell_method,cf_name
33,GLABLI,GLACIER: Ice ablation on glaciated fraction (reference area: glaciated area),mm w.e.,1,,
34,GLACCS,GLACIER: Snow accumulation on glaciated fraction (reference area: glaciated area),mm w.e.,1,,
35,GLABLS,GLACIER: Snow ablation on glaciated fraction (reference area: glaciated area),mm w.e.,1,,
36,GLVOL,GLACIER: Ice volume,m³ w.e.,1,,
37,SRADSGI,GLACIER: Surface incoming solar radiation on glaciated fraction,W/m²,1,,
38,SRADSGO,GLACIER: Surface outgoing solar radiation on glaciated fraction,W/m²,1,,
49,TRSOL,effective transmissivity,,1,,
51,EMTEF,,,1,,
52,TRSOF,,,1,,
53,DRAIN,drainage (part of 160),mm,1,,
54,TSL,surface temperature (land),K,1,,
55,TSW,surface temperature (water),K,1,,
56,TSI,surface temperature (ice),K,1,,
57,USTRL,surface u-stress (land),Pa,1,,
58,USTRW,surface u-stress (water),Pa,1,,
59,USTRI,surface u-stress (ice),Pa,1,,
60,VSTRL,surface v-stress (land),Pa,1,,
61,VSTRW,surface v-stress (water),Pa,1,,
62,VSTRI,surface v-stress (ice),Pa,1,,
63,EVAPL,surface evaporation (land),mm,1,,
64,EVAPW,surface evaporation (water),mm,1,,
65,EVAPI,surface evaporation (ice),mm,1,,
66,AHFLL,surface latent heat flux (land),W/m²,1,,
67,AHFLW,surface latent heat flux (water),W/m²,1,,
68,AHFLI,surface latent heat flux (ice),W/m²,1,,
69,AHFSL,surface sensible heat flux (land),W/m²,1,,
70,AHFSW,surface sensible heat flux (water),W/m²,1,,
71,AHFSI,surface sensible heat flux (ice),W/m²,1,,
72,AZ0L,surface roughness length (land),m,1,,
73,AZ0W,surface roughness length (water),m,1,,
74,AZ0I,surface roughness length (ice),m,1,,
75,ALSOL,surface albedo (land),fract.,1,,
76,ALSOW,surface albedo (water),fract.,1,,
77,ALSOI,surface albedo (ice),fract.,1,,
81,TMCHL,turbulent transfer coefficient of heat at the surface (land),,1,,
82,TMCHW,turbulent transfer coefficient of heat at the surface (water),,1,,
83,TMCHI,turbulent transfer coefficient of heat at the surface (ice),,1,,
84,QDBL,specific humidity surface (land),kg/kg,1,,
85,QDBW,specific humidity surface (water),kg/kg,1,,
86,QDBI,specific humidity surface (ice),kg/kg,1,,
87,BFLHSL,surface sensible heat flux (land) (= 69),W/m²,1,,
88,BFLHSW,surface sensible heat flux (water) (= 70),W/m²,1,,
89,BFLHSI,surface sensible heat flux (ice) (= 71),W/m²,1,,
90,BFLQDSL,surface latent heat flux (land) (= 66),W/m²,1,,
91,BFLQDSW,surface latent heat flux (water) (= 67),W/m²,1,,
92,BFLQDSI,surface latent heat flux (ice) (= 68),W/m²,1,,
93,AHFICE,sea-ice: conductive heat,W/m,1,,
94,QRES,residual heat flux for melting sea ice,W/m²,1,,
95,SRFL,net solar radiative flux at the surface,,1,,
96,QDBOXS,horizontal transport of water vapour,kg/m²,1,,
97,QWBOXS,horizontal transport of cloud water,kg/m²,1,,
98,EKBOXS,horizontal transport of kinetic energy,(3600*J)/m²,1,,
99,FHBOXS,horizontal transport of sensible heat,(3600*J)/m²,1,,
100,FIBOXS,horizontal transport of potential energy,(3600*J)/m²,1,,
101,TLAMBDA,heat conductivity of dry soil,W/(K*m),1,,
103,DLAMBDA,parameter for increasing the heat conductivity of the soil due to soil moisture (TLAMBDA+DLAMBDA gives the heat conductivity of saturated soil),,1,,
104,PORVOL,pore volume,,1,,
105,FCAP,field capacity of soil,m³/m³,1,,
106,WI3,fraction of frozen soil (layers analogous soil temp.),,1,,
107,WI4,fraction of frozen soil (layers analogous soil temp.),,1,,
108,WI5,fraction of frozen soil (layers analogous soil temp.),,1,,
109,WI,fraction of frozen soil (layers analogous soil temp.),,1,,
110,WICL,fraction of frozen soil (layers analogous soil temp.),,1,,
111,TSGECH,GLACIER: Surface temperature of glaciated fraction,K,1,,
112,QDB,specific humidity surface,kg/kg,1,,
113,AZ0G,GLACIER: Surface roughness length of glaciated fraction,m,1,,
114,TMCHG,GLACIER: Turbulent exchange coefficient for sensible and latent heat on glaciated fraction,,1,,
115,AHFSG,GLACIER: Sensible heat flux on glaciated fraction (VDIFF),W/m²,1,,
116,BFLHSG,GLACIER: Sensible heat flux on glaciated fraction (PROGEXP),W/m²,1,,
117,BFLQDSG,GLACIER: Latent heat flux on glaciated fraction (PROGEXP),W/m²,1,,
118,EVAPG,GLACIER: Evaporation on glaciated fraction (reference area: glaciated area),mm,1,,
119,QDBG,GLACIER: Specific humidity over glaciated fraction,kg/kg,1,,
120,USTRG,GLACIER: Surface u-stress over glaciated fraction,Pa*s,1,,
121,VSTRG,GLACIER: Surface v-stress over glaciated fraction,Pa*s,1,,
122,ALSOG,GLACIER: Surface albedo of glaciated fraction,,1,,
123,SNG,GLACIER: Snow depth on glaciated fraction,m w.e.,1,,
124,TSNG,GLACIER: Snow temperature on glaciated fraction,K,1,,
125,SNAGEL,GLACIER: Snow age on non-glaciated fraction,days,1,,
126,SNAGEG,GLACIER: Snow age on glaciated fraction,days,1,,
127,SNMDL,GLACIER: Mean snow depth on non-glaciated fraction during SNAGEL,m w.e.,1,,
128,SNMDG,GLACIER: Mean snow depth on glaciated fraction during SNAGEG,m w.e.,1,,
129,FIB,surface geopotential (orography),m,1,,orog
130,T,temperature,K,110,,
131,U,u-velocity,m/s,110,,
132,V,v-velocity,m/s,110,,
133,QD,specific humidity,kg/kg,110,,hus
134,PS,Surface pressure,Pa,1,,ps
135,OMEGA,Vertical velocity,Pa/s,110,,
136,,,,1,,
137,,,,1,,
138,,,,1,,
139,TS,surface temperature (mean over gridbox),K,1,,
140,WS,soil wetness,m,1,,mrso
141,SN,snow depth,m,1,,snw
142,APRL,large scale precipitation,mm,1,,
143,APRC,convective precipitation,mm,1,,prc
144,APRS,snow fall,mm,1,,
145,VDIS,boundary layer dissipation (accumulated),W/m²,1,,
146,AHFS,surface sensible heat flux,W/m²,1,,
147,AHFL,surface latent heat flux,W/m²,1,,
148,,,,1,,
149,,,,1,,
150,,,,1,,
151,PSRED,mean sea level pressure,Pa,1,,
152,,,,1,,
153,QW,liquid water content,kg/kg,110,,
154,,,,1,,
155,,,,1,,
156,FI,geopotential height,m,110,,zg
157,RELHUM,relative humidity (only an output variable of the pressure interpolation routine as 'REL HUM ' in the namelist),%,110,,
158,,,,1,,
159,USTAR3,TKE for ocean mixed layer (accumulated),(m**3/s**3)*s,1,,
160,RUNOFF,total runoff (surface runoff PLUS drainage !!),mm,1,,mrro
161,,,,1,,
162,ACLC,cloud cover (see also 223),fract.,110,,
163,ACLCV,total cloud cover (see also 164),fract.,1,,
164,ACLCOV,total cloud cover,fract.,1,,
165,U10,10m u-velocity,m/s,1,,uas
166,V10,10m v-velocity,m/s,1,,vas
167,TEMP2,2m temperature,K,1,,tas
168,DEW2,2m dew point temperature,K,1,,
169,TSURF,surface temperature (land) (see also 54),K,1,,
170,TD,deep soil temperature,K,1,,
171,WIND10,10m windspeed,m/s,1,,sfcWind
172,BLA,land sea mask,fract.,1,,sftlf
173,AZ0,surface roughness length,m,1,,
174,ALB,surface background albedo,fract.,1,,
175,ALBEDO,surface albedo,fract.,1,,
176,SRADS,net surface solar radiation,W/m²,1,,
177,TRADS,net surface thermal radiation,W/m²,1,,
178,SRAD0,net top solar radiation,W/m²,1,,
179,TRAD0,top thermal radiation (OLR),W/m²,1,,
180,USTR,surface u-stress,Pa,1,,
181,VSTR,surface v-stress,Pa,1,,
182,EVAP,surface evaporation,mm,1,,evspsbl
183,TDCL,soil temperature 5.700m thickness,K,1,,
184,,,,1,,
185,SRAFS,net surf. solar radiation (clear sky),W/m²,1,,
186,TRAFS,net surf. thermal radiation (clear sky),W/m²,1,,
187,SRAF0,net top solar radiation (clear sky),W/m²,1,,
188,TRAF0,net top thermal radiation (clear sky),W/m²,1,,
189,SCLFS,surface solar cloud forcing,W/m²,1,,
190,TCLFS,surface thermal cloud forcing,W/m²,1,,
191,SCLF0,top solar cloud forcing,W/m²,1,,
192,TCLF0,top thermal cloud forcing,W/m²,1,,
193,,,,1,,
194,WL,skin reservoir content,m,1,,
195,USTRGW,u-gravity wave stress,Pa,1,,
196,VSTRGW,v-gravity wave stress,Pa,1,,
197,VDISGW,gravity wave dissipation,W/m²,1,,
198,VGRAT,vegetation ratio,,1,,
199,VAROR,orographic variance (for surface runoff),,1,,
200,VLT,leaf area index,m²/m²,1,,
201,T2MAX,maximum 2m-temperature,K,1,,tasmax
202,T2MIN,minimum 2m-temperature,K,1,,tasmin
203,SRAD0U,top solar radiation upward,W/m²,1,,
204,SRADSU,surface solar radiation upward,W/m²,1,,rsus
205,TRADSU,surface thermal radiation upward,W/m²,1,,rlus
206,TSN,snow temperature (see description below),K,1,,
207,TD3,soil temperature 0.065m thickness,K,1,,
208,TD4,soil temperature 0.254m thickness,K,1,,
209,TD5,soil temperature 0.913m thickness,K,1,,
210,SEAICE,sea ice cover,fract.,1,,
211,SICED,sea ice depth,m,1,,
212,FOREST,vegetation type,,1,,
213,TEFF,(effective) sea-ice skin temperature,K,1,,
214,TSMAX,maximum surface temperature,K,1,,
215,TSMIN,minimum surface temperature,K,1,,
216,WIMAX,maximum 10m-wind speed (w/o gusts),m/s,1,,sfcWindmax
217,TOPMAX,maximum height of convective cloud tops,Pa,1,,
218,SNMEL,snow melt,mm,1,,
219,,,,1,,
220,TSLIN,land: residual surface heat budget sea-ice: conductive heat flux,W/m²,1,,
221,DSNAC,snow depth change,mm,1,,
222,EMTER,effective emissivity,,1,,
223,ACLCAC,cloud cover,fract.,110,,
224,TKE,turbulent kinetic energy,,110,,
225,,,,1,,
226,FAO,FAO data set (soil data flags),0...6.,1,,
227,RGCGN,heat capacity of soil,,1,,
228,,,,1,,
229,WSMX,field capacity of soil,m³/m³,1,,
230,QVI,vertically integrated specific humidity,kg/m²,1,,
231,ALWCVI,vertically integrated liquid water cont.,kg/m²,1,,
232,GLAC,glacier mask (0.: no,1.: yes),1,,
233,,,,1,,
234,EVAPM,surface evaporation,mm,1,,
251,,Kevin Sieck,BMI,1,,
252,SNMELG,GLACIER: Snow melt on glaciated fraction (reference area: total land area),mm w.e.,1,,
253,PHI,latitude in real coordinates,deg. N,1,,
254,RLA,longitude in real coordinates,deg. E,1,,
255,GLIMELT,GLACIER: Ice melt on glaciated fraction (reference area: total land area),mm w.e.,1,,
256,TRADSGI,GLACIER: Surface incoming thermal radiation on glaciated fraction,W/m²,1,,
257,TRADSGO,GLACIER: Surface outgoing thermal radiation on glaciated fraction,W/m²,1,,
258,AHFLG,GLACIER: Latent heat flux on glaciated fraction (VDIFF),W/m²,1,,
259,GLDLAST,GLACIER: Ice thickness after last area adjustment (IGLAAM=2),m w.e.,1,,
260,APRT,Total Precipitation,mm,1,,
261,AHUM2,2m absolute humidity,kg/m**3,1,,
262,SRADG,global radiation,W/m**2,1,,
265,U10ER,10m u-velocity,m/s,1,,
266,V10ER,10m v-velocity,m/s,1,,
271,GHPBL,height of the planetary boundary layer,m,1,,
272,BETA,,,1,,
273,WMINLOK,,,1,,
274,WMAXLOK,,,1,,
275,VBM10M,maximum of the expected gust velocity near the surface,m/s,1,,
276,CAPE,convective available potential energy,J/kg,1,,
281,PINT,non-hydrostatic pressure,,110,,
282,DWDT,non-hydrostatic acceleration,,110,,
283,W,non-hydrostatic vertical velocity,,110,,
284,SVHCAP,vol. heat capacity of dry soil,J/(m³*K),1,,
285,SLAMBDA,heat conductivity of dry soil,J/(m³*K),1,,
287,QJX,zonal vertically integrated moisture transport,kg m/m² s,1,,
288,QJY,meridional vertically integrated moisture transport,kg m/m² s,1,,
296,ADVECR,,kg/m²*s,110,,
297,ADVECS,,kg/m²*s,110,,
298,ADVELR,,kg/m²*s,110,,
299,ADVELS,,kg/m²*s,110,,
301,ESNOW,evaporation over snow at the surface,mm,1,,
302,ESKIN,Evaporation from skin reservoir at the surface,mm,1,,
303,ERES,,,1,,
317,VFC,volumetric soil field capacity,m/m,1,,
318,VPWP,volumetric soil permanent wilting point,m/m,1,,
319,SPSI,soil pore size distribution index, ,1,,
334,QI,cloud ice,kg/kg,110,,
336,QIVI,vertically integrated cloud ice,kg/m²,1,,
337,QIBOXS,horizontal transport of cloud ice,kg/m²,1,,
416,QDB2,2m specific humidity,kg/kg,1,,
417,VAP2,2m vapour pressure,Pa,1,,
432,PTEMP,potential temperature (not an output variable),K,110,,
433,RPR,warm cloud rain production,?,110,,
434,EVPAC,,,110,,
435,XLEVAC,,,110,,
436,XIEVAC,,,110,,
437,DEPAC,i found a description,,110,,
438,SUBAC,,,110,,
439,XISUBAC,,,110,,
440,SMLTAC,,,110,,
441,IMLTAC,,,110,,
442,XIMLTAC,,,110,,
443,FRLAC,,,110,,
444,SPRAC,,,110,,
446,WINDDIR,wind direction in 10m,°,1,,
447,RELHUM2,relative humidity in 2m,%,1,,
448,SACL1AC,,,110,,
449,SACL2AC,,,110,,
450,RAC1AC,,,110,,
451,RAC2AC,,,110,,
452,SAUTAC,,,110,,
453,RAUTAC,,,110,,
454,CLCP1LC,,,110,,
455,CNDAC,,,110,,
456,BFLHS,surface sensible heat flux (=146),W/m²,1,,hfss
457,BFLQDS,surface latent heat flux (=147),W/m²,1,,hfls
458,WBT,wet bulb temperature (not a model variable),K,1,,
459,SACI1AC,,,110,,
460,SACI2AC,,,110,,
461,TMCM,turbulent transfer coefficient of momentum at the surface,,1,,
462,TMCH,turbulent transfer coefficient of heat at the surface,,1,,
463,SEDAC,,,110,,
464,TTELSAC,,,110,,
465,QTELSAC,,,110,,
466,XTELSAC,,,110,,
467,XITELSAC,,,110,,
468,TTECAC,,,110,,
469,QTECAC,,,110,,
496,RAIN,rain water content,kg/kg,1,,
497,SNOW,snow content,kg/kg,1,,
498,WIND100,100m windspeed,m/s,1,,
499,SUNDUR,sunshine duration,h,1,,
614,PHI,latitude in real coordinates,deg. N,1,,
615,RLA,longitude in real coordinates,deg. E,1,,
